random_id,motivacion,conectado,sexojefe,edadjefe,jefesabeleer,jefesabeescribir,pdiasfueaescuela
616,0,1,1,38,1,1,85.714287
622,1,1,1,45,1,0,85.714287
623,0,0,1,42,1,1,28.57143
625,1,1,1,34,1,1,
626,1,1,1,31,1,1,
627,0,0,1,46,1,1,
628,0,0,2,75,0,0,
629,0,0,1,46,1,1,28.57143
630,1,1,1,42,1,1,85.714287
631,1,1,2,45,0,0,71.428574
632,0,0,1,55,1,1,
634,0,0,2,42,0,0,85.714287
635,0,0,1,47,0,0,
637,1,1,1,53,1,1,
638,1,1,1,49,1,1,85.714287
639,0,0,1,38,1,1,
640,1,1,1,50,1,1,28.57143
641,1,1,1,52,1,1,57.14286
642,1,1,2,54,0,0,
643,0,0,2,46,0,0,0
644,0,1,2,72,0,0,
645,0,0,1,51,1,1,71.428574
646,1,1,2,56,0,0,
647,1,1,1,55,0,0,71.428574
650,1,0,1,43,0,0,71.428574
652,0,0,1,55,1,1,
653,1,1,1,55,1,1,85.714287
654,1,1,1,71,0,0,
656,1,1,1,47,1,1,
658,0,0,1,33,1,1,
659,0,0,1,51,0,0,85.714287
660,0,0,1,49,1,1,85.714287
661,0,0,1,75,0,0,
662,0,0,2,80,0,0,
664,1,1,1,56,1,1,71.428574
666,0,0,1,71,0,0,
667,0,0,1,43,1,1,71.428574
668,0,0,1,65,0,0,
669,0,0,2,53,1,1,
670,1,1,1,49,1,1,
673,0,0,1,42,1,1,57.14286
674,0,0,1,46,0,0,
676,1,0,1,42,1,1,
677,0,0,2,36,0,0,
678,0,0,1,64,0,0,85.714287
681,0,0,1,70,1,1,
682,0,0,1,81,0,0,
683,0,0,1,36,1,1,85.714287
686,0,0,1,47,1,1,71.428574
687,0,1,1,37,1,1,71.428574
690,1,1,1,67,0,0,
691,1,0,2,51,0,0,
692,1,0,1,61,1,1,
693,0,0,1,54,1,1,
694,0,0,2,63,0,0,
697,1,1,2,51,0,0,
699,0,0,1,48,1,1,
700,0,0,2,66,0,0,71.428574
701,1,1,2,25,0,0,
702,1,1,1,36,1,1,28.57143
703,1,1,1,39,0,0,71.428574
704,1,1,1,43,1,1,85.714287
706,1,1,1,32,1,1,
708,0,0,1,22,1,1,
709,1,0,2,49,0,0,
710,0,0,2,27,1,1,
711,0,0,2,55,0,0,
712,1,0,1,43,1,1,
713,0,0,1,116,0,0,
